year,minutes_nonnull_pct,minutes_n,minutes_median,minutes_iqr,points_nonnull_pct,points_n,points_median,points_iqr,rebounds_nonnull_pct,rebounds_n,rebounds_median,rebounds_iqr,assists_nonnull_pct,assists_n,assists_median,assists_iqr,steals_nonnull_pct,steals_n,steals_median,steals_iqr,blocks_nonnull_pct,blocks_n,blocks_median,blocks_iqr,turnovers_nonnull_pct,turnovers_n,turnovers_median,turnovers_iqr
1,100.0,208,454.5,646.75,100.0,208,124.0,203.25,100.0,208,58.0,83.25,100.0,208,26.5,50.25,100.0,208,16.0,25.0,100.0,208,4.0,8.25,100.0,208,33.0,45.25
2,100.0,208,445.0,615.75,100.0,208,117.5,205.75,100.0,208,61.5,83.0,100.0,208,24.5,44.0,100.0,208,16.0,25.0,100.0,208,4.0,10.0,100.0,208,34.0,39.25
3,100.0,217,421.0,673.0,100.0,217,108.0,233.0,100.0,217,58.0,86.0,100.0,217,22.0,46.0,100.0,217,13.0,24.0,100.0,217,4.0,10.0,100.0,217,27.0,42.0
4,100.0,180,481.5,734.75,100.0,180,121.5,253.5,100.0,180,60.5,101.75,100.0,180,23.0,55.25,100.0,180,15.0,26.0,100.0,180,4.0,12.0,100.0,180,31.5,49.0
5,100.0,167,462.0,685.0,100.0,167,132.0,245.0,100.0,167,66.0,94.5,100.0,167,27.0,45.5,100.0,167,18.0,24.0,100.0,167,5.0,11.0,100.0,167,32.0,45.0
6,100.0,178,449.5,691.0,100.0,178,119.5,241.0,100.0,178,54.0,90.5,100.0,178,23.0,47.5,100.0,178,13.0,24.75,100.0,178,3.0,10.5,100.0,178,28.5,45.5
7,100.0,180,506.0,661.5,100.0,180,161.5,251.75,100.0,180,70.5,96.75,100.0,180,32.0,48.25,100.0,180,17.0,26.25,100.0,180,4.0,10.0,100.0,180,35.5,44.25
8,100.0,173,481.0,695.0,100.0,173,144.0,271.0,100.0,173,69.0,119.0,100.0,173,30.0,52.0,100.0,173,18.0,27.0,100.0,173,5.0,10.0,100.0,173,35.0,50.0
9,100.0,200,428.0,601.75,100.0,200,117.5,232.5,100.0,200,62.5,99.75,100.0,200,25.5,53.0,100.0,200,15.0,26.0,100.0,200,4.0,10.0,100.0,200,31.0,44.0
10,100.0,165,531.0,593.0,100.0,165,164.0,262.0,100.0,165,74.0,107.0,100.0,165,33.0,57.0,100.0,165,16.0,23.0,100.0,165,5.0,11.0,100.0,165,36.0,47.0
