,pos_C,pos_C-F,pos_F,pos_F-C,pos_F-G,pos_G,pos_G-F
height,0.45009150398157843,0.15756161934604537,0.28907630880800916,0.3502772854627717,0.0016300735583521834,-0.7551007775217851,-0.12590690904006924
weight,0.4654788496665328,0.18219255651834115,0.1762588220476617,0.27621787956895266,-0.07835675095606594,-0.6395329528052908,-0.06264241608186955
career_length,,,,,,,
pts36,0.016663889048038564,0.010119064389201316,0.07346974419017042,0.10964431803353274,0.10290400306120147,-0.23235319331929863,0.06478614955073697
reb36,0.3728766801681143,0.14678733045394163,0.26557647474548207,0.3100314301693908,-0.07731134670187143,-0.5966079468823867,-0.17741967881674026
ast36,-0.3086669652607783,-0.13856658504663702,-0.2519717201273072,-0.25505599318433964,0.038467586420699994,0.5853757449624676,0.07453689366551368
stl36,-0.2406438412303207,-0.02622611129893648,-0.0597884932168427,-0.08084228467713515,0.05995969497583309,0.2125237890815695,0.0635077252698166
blk36,0.5717132795608909,0.047564429876317774,0.037439888557644234,0.22740780490491708,-0.02563463339155895,-0.4688761960142341,-0.1492412575952202
tov36,0.09058278008494057,-0.021957689609204953,-0.09655553391046875,0.044294677509862865,-0.06501947667278467,0.0763106990267467,-0.06538627456066154
perf36,-0.11234442210938918,-0.056378745011364126,-0.043362819658176545,-0.020731317692188733,0.1428955786998124,0.023292508756922306,0.10914485894580662
