,role_center,role_forward,role_forward_center,role_guard,role_wing
height,0.45009150398157843,0.28907630880800916,0.39217310142986095,-0.7551007775217851,-0.11158886975888462
weight,0.4654788496665328,0.1762588220476617,0.3375277772459362,-0.6395329528052908,-0.09598502835217904
career_length,,,,,
pts36,0.016663889048038564,0.07346974419017042,0.10358105082914647,-0.23235319331929863,0.1104443902801703
reb36,0.3728766801681143,0.26557647474548207,0.35063670818658593,-0.5966079468823867,-0.19791754099576214
ast36,-0.3086669652607783,-0.2519717201273072,-0.2971634643650501,0.5853757449624676,0.08620938779742768
stl36,-0.2406438412303207,-0.0597884932168427,-0.08554196997306669,0.2125237890815695,0.08734970781442704
blk36,0.5717132795608909,0.037439888557644234,0.22781999162210118,-0.4688761960142341,-0.14634320351405067
tov36,0.09058278008494057,-0.09655553391046875,0.02911715873023279,0.0763106990267467,-0.09161341201784681
perf36,0.11808016959302607,0.11466795357778709,0.16310167330917086,-0.32715222462475907,0.03801057642657716
